Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     Egz
Vardas23660         Pavarde23660        3       4       7       5       1       8
Vardas23661         Pavarde23661        3       3       10      8       6       8
Vardas23662         Pavarde23662        7       2       5       7       2       2
Vardas23663         Pavarde23663        1       8       3       10      3       3
Vardas23664         Pavarde23664        9       5       2       6       10      7
Vardas23665         Pavarde23665        7       3       9       10      6       4
Vardas23666         Pavarde23666        9       2       5       6       7       8
Vardas23667         Pavarde23667        6       7       1       8       7       5
Vardas23668         Pavarde23668        10      5       2       5       6       5
Vardas23669         Pavarde23669        8       3       7       2       6       9
Vardas23670         Pavarde23670        10      3       4       1       9       2
Vardas23671         Pavarde23671        4       2       7       6       10      5
Vardas23672         Pavarde23672        6       5       7       3       8       10
Vardas23673         Pavarde23673        5       6       9       6       10      3
Vardas23674         Pavarde23674        5       8       8       9       1       3
Vardas23675         Pavarde23675        6       5       1       2       1       3
Vardas23676         Pavarde23676        6       4       6       9       9       9
Vardas23677         Pavarde23677        10      4       4       6       5       5
Vardas23678         Pavarde23678        5       2       10      9       2       4
Vardas23679         Pavarde23679        5       10      6       8       4       9
Vardas23680         Pavarde23680        10      8       7       3       8       4
Vardas23681         Pavarde23681        7       4       7       3       9       7
Vardas23682         Pavarde23682        9       9       2       10      4       2
Vardas23683         Pavarde23683        1       5       4       2       7       4
Vardas23684         Pavarde23684        4       4       8       10      10      7
Vardas23685         Pavarde23685        2       6       1       6       7       7
Vardas23686         Pavarde23686        3       8       7       8       10      10
Vardas23687         Pavarde23687        9       3       7       7       1       7
Vardas23688         Pavarde23688        10      8       4       1       9       8
Vardas23689         Pavarde23689        3       7       7       6       2       1
Vardas23690         Pavarde23690        9       4       1       3       7       6
Vardas23691         Pavarde23691        8       9       5       3       6       3
Vardas23692         Pavarde23692        9       10      3       2       2       7
Vardas23693         Pavarde23693        8       7       4       10      4       7
Vardas23694         Pavarde23694        7       9       2       2       7       1
Vardas23695         Pavarde23695        1       4       3       10      10      3
Vardas23696         Pavarde23696        7       7       3       5       4       4
Vardas23697         Pavarde23697        1       1       2       6       10      2
Vardas23698         Pavarde23698        7       6       1       6       3       1
Vardas23699         Pavarde23699        3       3       2       10      10      9
Vardas23700         Pavarde23700        6       8       8       9       3       7
Vardas23701         Pavarde23701        5       1       8       6       1       1
Vardas23702         Pavarde23702        10      4       6       4       5       9
Vardas23703         Pavarde23703        4       2       4       6       10      2
Vardas23704         Pavarde23704        9       7       10      1       8       10
Vardas23705         Pavarde23705        2       3       9       6       10      1
Vardas23706         Pavarde23706        3       10      1       1       5       6
Vardas23707         Pavarde23707        1       5       4       8       5       7
Vardas23708         Pavarde23708        2       10      9       4       5       6
Vardas23709         Pavarde23709        10      2       8       1       10      7
Vardas23710         Pavarde23710        4       1       3       5       9       2
Vardas23711         Pavarde23711        3       10      2       9       9       4
Vardas23712         Pavarde23712        9       4       5       7       8       1
Vardas23713         Pavarde23713        3       2       9       1       4       10
Vardas23714         Pavarde23714        1       9       4       6       6       5
Vardas23715         Pavarde23715        8       7       6       10      6       7
Vardas23716         Pavarde23716        8       5       3       5       6       1
Vardas23717         Pavarde23717        9       6       2       5       9       8
Vardas23718         Pavarde23718        2       8       5       4       7       7
Vardas23719         Pavarde23719        2       4       6       4       4       5
Vardas23720         Pavarde23720        8       6       4       6       7       6
Vardas23721         Pavarde23721        1       2       4       8       5       4
Vardas23722         Pavarde23722        5       10      7       4       10      8
Vardas23723         Pavarde23723        3       10      7       10      1       4
Vardas23724         Pavarde23724        5       7       4       4       2       8
Vardas23725         Pavarde23725        7       4       7       1       10      10
Vardas23726         Pavarde23726        6       4       7       4       7       6
Vardas23727         Pavarde23727        6       4       6       1       2       10
Vardas23728         Pavarde23728        5       1       4       10      6       1
Vardas23729         Pavarde23729        4       6       4       8       7       2
Vardas23730         Pavarde23730        2       1       4       5       3       3
Vardas23731         Pavarde23731        4       4       10      7       10      1
Vardas23732         Pavarde23732        3       6       5       5       5       3
Vardas23733         Pavarde23733        3       3       8       1       10      1
Vardas23734         Pavarde23734        1       8       7       2       2       9
Vardas23735         Pavarde23735        3       10      2       8       3       8
Vardas23736         Pavarde23736        2       7       6       3       7       1
Vardas23737         Pavarde23737        5       9       7       10      8       2
Vardas23738         Pavarde23738        6       1       7       3       9       1
Vardas23739         Pavarde23739        3       1       6       6       8       8
Vardas23740         Pavarde23740        7       9       2       1       3       6
Vardas23741         Pavarde23741        5       5       8       3       6       1
Vardas23742         Pavarde23742        4       9       3       8       6       7
Vardas23743         Pavarde23743        9       5       2       2       7       5
Vardas23744         Pavarde23744        6       8       8       10      1       6
Vardas23745         Pavarde23745        2       4       8       9       9       3
Vardas23746         Pavarde23746        1       8       1       2       10      2
Vardas23747         Pavarde23747        8       6       8       7       2       10
Vardas23748         Pavarde23748        8       2       10      5       7       10
Vardas23749         Pavarde23749        1       5       7       1       1       9
Vardas23750         Pavarde23750        2       5       8       1       6       4
Vardas23751         Pavarde23751        5       9       10      10      7       6
Vardas23752         Pavarde23752        6       7       8       7       9       4
Vardas23753         Pavarde23753        3       6       1       2       9       10
Vardas23754         Pavarde23754        9       6       3       6       8       7
Vardas23755         Pavarde23755        5       7       10      4       4       4
Vardas23756         Pavarde23756        4       6       8       8       5       6
Vardas23757         Pavarde23757        4       9       2       3       6       2
Vardas23758         Pavarde23758        5       6       8       10      10      8
Vardas23759         Pavarde23759        6       8       7       4       10      10
Vardas23760         Pavarde23760        4       5       9       4       10      2
Vardas23761         Pavarde23761        9       7       6       8       3       3
Vardas23762         Pavarde23762        8       6       7       6       7       5
Vardas23763         Pavarde23763        3       8       5       8       4       9
Vardas23764         Pavarde23764        7       9       3       1       5       7
Vardas23765         Pavarde23765        5       8       6       9       1       9
Vardas23766         Pavarde23766        8       1       5       5       8       4
Vardas23767         Pavarde23767        5       5       1       2       8       3
Vardas23768         Pavarde23768        6       4       4       3       9       7
Vardas23769         Pavarde23769        8       2       8       2       4       5
Vardas23770         Pavarde23770        8       5       2       6       7       2
Vardas23771         Pavarde23771        2       2       4       2       9       10
Vardas23772         Pavarde23772        8       4       4       2       3       3
Vardas23773         Pavarde23773        5       7       5       3       4       8
Vardas23774         Pavarde23774        5       3       10      1       10      1
Vardas23775         Pavarde23775        1       1       10      7       2       2
Vardas23776         Pavarde23776        7       1       9       1       8       8
Vardas23777         Pavarde23777        4       8       10      5       3       5
Vardas23778         Pavarde23778        5       1       5       6       6       3
Vardas23779         Pavarde23779        7       5       4       3       7       4
Vardas23780         Pavarde23780        5       5       10      4       3       4
Vardas23781         Pavarde23781        2       8       8       7       7       6
Vardas23782         Pavarde23782        9       2       6       1       3       4
Vardas23783         Pavarde23783        7       7       9       3       7       3
Vardas23784         Pavarde23784        3       1       3       4       5       5
Vardas23785         Pavarde23785        4       10      10      6       9       10
Vardas23786         Pavarde23786        6       2       10      10      3       9
Vardas23787         Pavarde23787        4       5       8       7       4       2
Vardas23788         Pavarde23788        2       1       2       4       7       3
Vardas23789         Pavarde23789        8       4       10      9       1       5
Vardas23790         Pavarde23790        1       2       3       8       9       10
Vardas23791         Pavarde23791        10      10      3       6       9       7
Vardas23792         Pavarde23792        2       4       10      8       7       8
Vardas23793         Pavarde23793        5       5       6       7       8       1
Vardas23794         Pavarde23794        1       5       2       8       1       4
Vardas23795         Pavarde23795        6       8       2       6       3       10
Vardas23796         Pavarde23796        6       6       8       8       5       6
Vardas23797         Pavarde23797        2       4       9       7       8       5
Vardas23798         Pavarde23798        4       2       9       7       10      10
Vardas23799         Pavarde23799        10      6       3       7       6       7
Vardas23800         Pavarde23800        6       3       3       10      6       2
Vardas23801         Pavarde23801        1       1       6       1       2       8
Vardas23802         Pavarde23802        6       5       7       7       5       10
Vardas23803         Pavarde23803        3       3       5       3       8       2
Vardas23804         Pavarde23804        2       1       5       7       6       9
Vardas23805         Pavarde23805        7       10      5       9       2       1
Vardas23806         Pavarde23806        9       9       5       5       5       1
Vardas23807         Pavarde23807        8       10      8       9       4       7
Vardas23808         Pavarde23808        8       8       2       10      5       10
Vardas23809         Pavarde23809        6       3       4       6       2       4
Vardas23810         Pavarde23810        1       10      9       1       8       3
Vardas23811         Pavarde23811        8       6       9       6       5       6
Vardas23812         Pavarde23812        8       8       1       2       2       9
Vardas23813         Pavarde23813        8       6       3       1       7       7
Vardas23814         Pavarde23814        4       7       7       8       2       6
Vardas23815         Pavarde23815        10      3       4       7       3       4
Vardas23816         Pavarde23816        9       4       2       10      1       10
Vardas23817         Pavarde23817        8       4       5       1       6       6
Vardas23818         Pavarde23818        6       6       10      2       2       2
Vardas23819         Pavarde23819        10      1       6       7       7       1
Vardas23820         Pavarde23820        5       10      3       5       7       9
Vardas23821         Pavarde23821        7       7       4       9       2       3
Vardas23822         Pavarde23822        5       2       7       1       8       8
Vardas23823         Pavarde23823        3       3       10      5       3       9
Vardas23824         Pavarde23824        5       3       3       8       10      6
Vardas23825         Pavarde23825        6       2       2       1       3       4
Vardas23826         Pavarde23826        4       10      4       6       9       7
Vardas23827         Pavarde23827        1       3       5       1       3       1
Vardas23828         Pavarde23828        6       6       3       5       7       5
Vardas23829         Pavarde23829        4       7       9       9       8       10
Vardas23830         Pavarde23830        5       3       10      1       1       6
Vardas23831         Pavarde23831        5       1       8       5       3       1
Vardas23832         Pavarde23832        5       4       1       9       5       9
Vardas23833         Pavarde23833        9       2       5       10      8       7
Vardas23834         Pavarde23834        5       6       1       7       4       3
Vardas23835         Pavarde23835        5       6       7       9       7       1
Vardas23836         Pavarde23836        6       5       8       1       6       9
Vardas23837         Pavarde23837        10      2       5       3       8       6
Vardas23838         Pavarde23838        6       7       7       10      3       7
Vardas23839         Pavarde23839        5       2       8       5       10      9
Vardas23840         Pavarde23840        10      9       3       7       6       10
Vardas23841         Pavarde23841        8       2       2       3       2       4
Vardas23842         Pavarde23842        2       5       5       4       8       2
Vardas23843         Pavarde23843        1       8       4       8       7       6
Vardas23844         Pavarde23844        8       2       7       10      9       8
Vardas23845         Pavarde23845        8       6       8       4       3       9
Vardas23846         Pavarde23846        9       1       10      3       3       6
Vardas23847         Pavarde23847        8       4       2       2       9       5
Vardas23848         Pavarde23848        2       3       4       4       3       1
Vardas23849         Pavarde23849        10      8       7       4       4       7
Vardas23850         Pavarde23850        4       6       2       7       8       6
Vardas23851         Pavarde23851        6       5       8       6       6       6
Vardas23852         Pavarde23852        9       4       7       5       10      6
Vardas23853         Pavarde23853        5       9       9       7       7       2
Vardas23854         Pavarde23854        4       9       9       9       1       10
Vardas23855         Pavarde23855        3       10      8       3       4       2
Vardas23856         Pavarde23856        2       6       4       3       1       4
Vardas23857         Pavarde23857        10      4       10      4       5       7
Vardas23858         Pavarde23858        2       2       10      6       10      9
Vardas23859         Pavarde23859        4       10      2       7       8       4
Vardas23860         Pavarde23860        6       8       9       6       1       2
Vardas23861         Pavarde23861        5       3       1       2       4       3
Vardas23862         Pavarde23862        6       3       10      1       7       7
Vardas23863         Pavarde23863        7       1       3       6       5       10
Vardas23864         Pavarde23864        1       7       8       2       7       4
Vardas23865         Pavarde23865        10      7       10      1       6       5
Vardas23866         Pavarde23866        3       10      4       8       4       1
Vardas23867         Pavarde23867        4       3       6       8       7       5
Vardas23868         Pavarde23868        5       1       6       2       10      9
Vardas23869         Pavarde23869        10      7       8       4       8       2
Vardas23870         Pavarde23870        9       10      4       6       7       7
Vardas23871         Pavarde23871        5       10      5       7       3       9
Vardas23872         Pavarde23872        7       2       7       5       1       10
Vardas23873         Pavarde23873        4       1       2       8       10      10
Vardas23874         Pavarde23874        1       5       1       3       10      4
Vardas23875         Pavarde23875        6       10      5       6       6       10
Vardas23876         Pavarde23876        2       6       6       1       1       6
Vardas23877         Pavarde23877        3       8       10      10      10      1
Vardas23878         Pavarde23878        9       10      8       1       2       1
Vardas23879         Pavarde23879        7       8       4       5       9       6
Vardas23880         Pavarde23880        8       8       5       10      3       1
Vardas23881         Pavarde23881        3       7       8       5       8       4
Vardas23882         Pavarde23882        10      9       1       9       5       8
Vardas23883         Pavarde23883        7       7       2       5       6       2
Vardas23884         Pavarde23884        9       8       4       6       2       8
Vardas23885         Pavarde23885        1       7       4       4       10      2
Vardas23886         Pavarde23886        5       6       6       8       3       1
Vardas23887         Pavarde23887        10      5       10      3       9       9
Vardas23888         Pavarde23888        6       4       1       10      2       9
Vardas23889         Pavarde23889        10      8       2       6       6       10
Vardas23890         Pavarde23890        5       7       1       6       4       5
Vardas23891         Pavarde23891        1       2       3       6       7       9
Vardas23892         Pavarde23892        9       10      8       8       7       2
Vardas23893         Pavarde23893        4       4       5       7       2       6
Vardas23894         Pavarde23894        2       3       6       6       9       7
Vardas23895         Pavarde23895        2       4       3       9       6       8
Vardas23896         Pavarde23896        2       10      3       7       6       2
Vardas23897         Pavarde23897        2       3       6       6       3       7
Vardas23898         Pavarde23898        10      9       10      4       8       1
Vardas23899         Pavarde23899        1       4       1       7       9       8
Vardas23900         Pavarde23900        10      3       3       7       1       10
Vardas23901         Pavarde23901        7       6       8       1       6       3
Vardas23902         Pavarde23902        9       7       10      8       7       2
Vardas23903         Pavarde23903        3       8       9       7       2       7
Vardas23904         Pavarde23904        6       7       1       9       4       9
Vardas23905         Pavarde23905        2       4       8       5       3       7
Vardas23906         Pavarde23906        9       9       7       6       5       9
Vardas23907         Pavarde23907        3       10      4       8       2       8
Vardas23908         Pavarde23908        2       4       3       7       10      7
Vardas23909         Pavarde23909        1       7       4       5       10      7
Vardas23910         Pavarde23910        3       10      5       8       2       6
Vardas23911         Pavarde23911        10      1       6       1       4       8
Vardas23912         Pavarde23912        2       10      9       6       3       10
Vardas23913         Pavarde23913        5       7       1       3       6       7
Vardas23914         Pavarde23914        2       6       5       6       5       6
Vardas23915         Pavarde23915        7       10      8       7       7       4
Vardas23916         Pavarde23916        2       8       7       7       2       3
Vardas23917         Pavarde23917        4       1       5       3       2       9
Vardas23918         Pavarde23918        10      7       3       4       9       7
Vardas23919         Pavarde23919        5       10      7       9       1       2
Vardas23920         Pavarde23920        7       7       3       5       6       10
Vardas23921         Pavarde23921        2       3       4       7       3       6
Vardas23922         Pavarde23922        5       3       2       2       2       10
Vardas23923         Pavarde23923        7       8       4       6       9       9
Vardas23924         Pavarde23924        7       2       8       6       1       2
Vardas23925         Pavarde23925        3       10      1       4       4       5
Vardas23926         Pavarde23926        9       3       9       7       3       4
Vardas23927         Pavarde23927        6       2       4       3       5       9
Vardas23928         Pavarde23928        8       10      3       2       6       6
Vardas23929         Pavarde23929        2       1       9       4       5       1
Vardas23930         Pavarde23930        7       2       6       6       7       8
Vardas23931         Pavarde23931        9       8       9       5       3       3
Vardas23932         Pavarde23932        7       1       3       3       1       7
Vardas23933         Pavarde23933        8       1       5       2       10      5
Vardas23934         Pavarde23934        4       2       10      10      7       9
Vardas23935         Pavarde23935        8       7       5       5       5       3
Vardas23936         Pavarde23936        5       9       7       3       3       9
Vardas23937         Pavarde23937        10      5       8       7       9       5
Vardas23938         Pavarde23938        8       9       9       8       7       1
Vardas23939         Pavarde23939        4       6       6       9       2       9
Vardas23940         Pavarde23940        4       8       1       4       4       1
Vardas23941         Pavarde23941        10      2       8       6       2       2
Vardas23942         Pavarde23942        3       5       1       2       6       3
Vardas23943         Pavarde23943        2       10      10      2       8       4
Vardas23944         Pavarde23944        7       8       4       7       4       8
Vardas23945         Pavarde23945        6       4       6       6       6       6
Vardas23946         Pavarde23946        8       9       8       5       4       9
Vardas23947         Pavarde23947        2       9       6       6       7       6
Vardas23948         Pavarde23948        2       6       7       1       4       2
Vardas23949         Pavarde23949        4       7       1       4       9       8
Vardas23950         Pavarde23950        6       6       1       5       3       9
Vardas23951         Pavarde23951        10      10      5       8       4       6
Vardas23952         Pavarde23952        7       5       4       8       6       4
Vardas23953         Pavarde23953        5       3       5       5       5       6
Vardas23954         Pavarde23954        8       8       2       1       1       8
Vardas23955         Pavarde23955        10      3       1       3       10      3
Vardas23956         Pavarde23956        5       2       8       6       6       6
Vardas23957         Pavarde23957        4       2       9       3       1       7
Vardas23958         Pavarde23958        7       3       3       2       5       5
Vardas23959         Pavarde23959        6       2       6       8       3       6
Vardas23960         Pavarde23960        2       2       8       8       2       10
Vardas23961         Pavarde23961        5       3       9       7       7       5
Vardas23962         Pavarde23962        7       9       3       8       1       4
Vardas23963         Pavarde23963        8       2       6       1       1       1
Vardas23964         Pavarde23964        6       3       2       5       8       8
Vardas23965         Pavarde23965        10      5       8       9       5       5
Vardas23966         Pavarde23966        9       5       6       1       9       8
Vardas23967         Pavarde23967        7       7       5       4       4       8
Vardas23968         Pavarde23968        6       9       2       5       1       1
Vardas23969         Pavarde23969        4       9       6       5       4       4
Vardas23970         Pavarde23970        8       5       9       2       8       10
Vardas23971         Pavarde23971        7       9       4       1       10      2
Vardas23972         Pavarde23972        1       7       9       3       8       7
Vardas23973         Pavarde23973        3       9       6       8       3       4
Vardas23974         Pavarde23974        5       5       9       4       4       2
Vardas23975         Pavarde23975        9       5       7       2       6       4
Vardas23976         Pavarde23976        2       8       7       2       6       2
Vardas23977         Pavarde23977        7       4       7       2       9       3
Vardas23978         Pavarde23978        4       9       1       5       5       6
Vardas23979         Pavarde23979        7       8       6       8       4       3
Vardas23980         Pavarde23980        5       7       4       1       8       1
Vardas23981         Pavarde23981        6       10      10      2       4       1
Vardas23982         Pavarde23982        9       10      3       7       1       8
Vardas23983         Pavarde23983        3       6       8       7       2       10
Vardas23984         Pavarde23984        7       1       5       5       10      2
Vardas23985         Pavarde23985        4       8       4       3       6       4
Vardas23986         Pavarde23986        5       8       2       10      5       3
Vardas23987         Pavarde23987        4       5       3       5       6       3
Vardas23988         Pavarde23988        8       1       5       2       4       2
Vardas23989         Pavarde23989        1       8       5       3       2       5
Vardas23990         Pavarde23990        6       6       10      1       2       3
Vardas23991         Pavarde23991        3       7       2       4       10      6
Vardas23992         Pavarde23992        7       6       6       10      5       10
Vardas23993         Pavarde23993        1       6       7       7       4       10
Vardas23994         Pavarde23994        6       3       7       7       2       1
Vardas23995         Pavarde23995        4       10      10      1       6       4
Vardas23996         Pavarde23996        6       2       5       4       3       1
Vardas23997         Pavarde23997        1       6       7       1       9       10
Vardas23998         Pavarde23998        1       1       7       6       3       6
Vardas23999         Pavarde23999        10      8       5       5       8       3
Vardas24000         Pavarde24000        7       4       10      6       2       4
Vardas24001         Pavarde24001        5       3       9       3       3       6
Vardas24002         Pavarde24002        1       6       8       10      1       1
Vardas24003         Pavarde24003        5       5       10      8       6       3
Vardas24004         Pavarde24004        2       5       1       9       9       3
Vardas24005         Pavarde24005        3       10      7       5       3       9
Vardas24006         Pavarde24006        7       6       8       7       4       4
Vardas24007         Pavarde24007        2       7       9       8       7       1
Vardas24008         Pavarde24008        7       6       3       3       2       1
Vardas24009         Pavarde24009        4       3       4       5       10      1
Vardas24010         Pavarde24010        10      6       6       8       5       5
Vardas24011         Pavarde24011        7       5       7       10      5       10
Vardas24012         Pavarde24012        10      10      2       10      7       8
Vardas24013         Pavarde24013        4       4       8       8       10      3
Vardas24014         Pavarde24014        1       1       1       5       6       5
Vardas24015         Pavarde24015        8       2       5       6       8       10
Vardas24016         Pavarde24016        10      6       2       3       6       7
Vardas24017         Pavarde24017        3       5       7       9       8       8
Vardas24018         Pavarde24018        5       1       2       3       10      10
Vardas24019         Pavarde24019        10      7       2       1       1       9
Vardas24020         Pavarde24020        6       4       5       2       10      4
Vardas24021         Pavarde24021        2       10      1       6       7       1
Vardas24022         Pavarde24022        9       1       4       2       7       8
Vardas24023         Pavarde24023        7       10      1       5       5       7
Vardas24024         Pavarde24024        5       7       5       10      9       6
Vardas24025         Pavarde24025        5       10      10      8       4       1
Vardas24026         Pavarde24026        6       1       10      8       3       2
Vardas24027         Pavarde24027        6       5       10      3       3       6
Vardas24028         Pavarde24028        2       7       5       3       1       3
Vardas24029         Pavarde24029        9       8       6       7       4       8
Vardas24030         Pavarde24030        6       9       4       9       1       5
Vardas24031         Pavarde24031        4       4       3       6       5       6
Vardas24032         Pavarde24032        2       4       5       7       2       7
Vardas24033         Pavarde24033        9       9       1       3       9       3
Vardas24034         Pavarde24034        10      9       6       8       5       4
Vardas24035         Pavarde24035        7       6       8       8       7       3
Vardas24036         Pavarde24036        5       10      1       2       7       6
Vardas24037         Pavarde24037        4       10      6       7       6       1
Vardas24038         Pavarde24038        5       9       10      9       5       7
Vardas24039         Pavarde24039        8       9       5       10      5       5
Vardas24040         Pavarde24040        2       7       8       10      1       7
Vardas24041         Pavarde24041        1       7       1       9       7       7
Vardas24042         Pavarde24042        3       6       3       4       10      2
Vardas24043         Pavarde24043        6       1       9       6       3       3
Vardas24044         Pavarde24044        10      1       4       9       2       4
Vardas24045         Pavarde24045        2       4       4       4       1       7
Vardas24046         Pavarde24046        9       3       6       1       1       1
Vardas24047         Pavarde24047        1       2       9       3       9       8
Vardas24048         Pavarde24048        4       8       3       1       3       3
Vardas24049         Pavarde24049        8       9       4       6       7       3
Vardas24050         Pavarde24050        7       6       6       3       3       4
Vardas24051         Pavarde24051        7       9       9       2       10      6
Vardas24052         Pavarde24052        5       5       1       9       2       3
Vardas24053         Pavarde24053        9       1       2       10      4       7
Vardas24054         Pavarde24054        1       6       2       10      1       2
Vardas24055         Pavarde24055        10      7       9       5       8       1
Vardas24056         Pavarde24056        8       1       6       7       9       7
Vardas24057         Pavarde24057        5       9       8       8       7       8
Vardas24058         Pavarde24058        8       3       9       9       3       2
Vardas24059         Pavarde24059        10      1       1       5       8       6
Vardas24060         Pavarde24060        6       6       6       1       8       10
Vardas24061         Pavarde24061        3       4       9       7       3       1
Vardas24062         Pavarde24062        10      3       4       10      8       3
Vardas24063         Pavarde24063        7       9       7       2       10      2
Vardas24064         Pavarde24064        7       5       4       6       6       5
Vardas24065         Pavarde24065        9       4       8       8       10      5
Vardas24066         Pavarde24066        6       10      3       1       10      1
Vardas24067         Pavarde24067        3       8       4       9       10      8
Vardas24068         Pavarde24068        1       8       8       10      6       1
Vardas24069         Pavarde24069        3       6       9       5       2       6
Vardas24070         Pavarde24070        9       8       5       6       5       3
Vardas24071         Pavarde24071        8       3       6       3       2       8
Vardas24072         Pavarde24072        8       2       8       6       7       10
Vardas24073         Pavarde24073        6       1       10      6       10      3
Vardas24074         Pavarde24074        3       3       6       5       3       10
Vardas24075         Pavarde24075        10      7       3       5       2       2
Vardas24076         Pavarde24076        9       10      1       5       4       8
Vardas24077         Pavarde24077        10      1       7       10      1       7
Vardas24078         Pavarde24078        4       4       10      9       4       9
Vardas24079         Pavarde24079        8       9       6       9       5       7
Vardas24080         Pavarde24080        3       1       6       5       5       3
Vardas24081         Pavarde24081        8       10      4       10      8       9
Vardas24082         Pavarde24082        1       7       9       9       6       9
Vardas24083         Pavarde24083        9       5       5       10      8       8
Vardas24084         Pavarde24084        9       8       7       4       8       10
Vardas24085         Pavarde24085        5       8       10      7       8       2
Vardas24086         Pavarde24086        4       7       3       8       4       2
Vardas24087         Pavarde24087        5       4       5       6       3       7
Vardas24088         Pavarde24088        1       8       6       8       7       6
Vardas24089         Pavarde24089        9       1       3       9       6       5
Vardas24090         Pavarde24090        3       3       5       2       4       7
Vardas24091         Pavarde24091        6       8       3       6       1       1
Vardas24092         Pavarde24092        4       4       3       4       6       10
Vardas24093         Pavarde24093        9       3       10      1       7       8
Vardas24094         Pavarde24094        10      1       10      10      2       7
Vardas24095         Pavarde24095        7       1       5       1       9       5
Vardas24096         Pavarde24096        7       8       2       3       1       5
Vardas24097         Pavarde24097        9       1       9       1       10      1
Vardas24098         Pavarde24098        1       4       10      2       10      5
Vardas24099         Pavarde24099        3       1       10      3       4       10
Vardas24100         Pavarde24100        8       7       6       10      1       8
Vardas24101         Pavarde24101        8       8       4       8       6       2
Vardas24102         Pavarde24102        3       7       6       10      5       4
Vardas24103         Pavarde24103        3       9       6       6       3       4
Vardas24104         Pavarde24104        3       9       4       4       6       5
Vardas24105         Pavarde24105        7       4       2       1       7       10
Vardas24106         Pavarde24106        5       3       3       9       3       1
Vardas24107         Pavarde24107        4       1       7       8       3       7
Vardas24108         Pavarde24108        6       4       3       6       7       10
Vardas24109         Pavarde24109        6       1       9       2       7       5
Vardas24110         Pavarde24110        10      2       9       2       7       10
Vardas24111         Pavarde24111        6       6       2       9       3       7
Vardas24112         Pavarde24112        8       4       7       6       3       9
Vardas24113         Pavarde24113        6       2       1       7       2       2
Vardas24114         Pavarde24114        3       3       2       1       6       9
Vardas24115         Pavarde24115        5       2       2       10      10      2
Vardas24116         Pavarde24116        1       8       1       5       8       5
Vardas24117         Pavarde24117        2       1       4       7       4       5
Vardas24118         Pavarde24118        9       9       1       2       6       7
Vardas24119         Pavarde24119        5       1       1       9       5       4
Vardas24120         Pavarde24120        5       6       4       3       7       7
Vardas24121         Pavarde24121        4       4       2       4       1       9
Vardas24122         Pavarde24122        1       8       4       10      10      5
Vardas24123         Pavarde24123        10      10      8       3       1       10
Vardas24124         Pavarde24124        5       6       2       10      8       3
Vardas24125         Pavarde24125        4       8       9       8       4       4
Vardas24126         Pavarde24126        8       10      7       10      10      10
Vardas24127         Pavarde24127        3       7       4       9       10      1
Vardas24128         Pavarde24128        2       9       1       1       5       2
Vardas24129         Pavarde24129        9       4       5       6       2       9
Vardas24130         Pavarde24130        7       3       8       5       6       9
Vardas24131         Pavarde24131        2       5       8       7       1       2
Vardas24132         Pavarde24132        6       9       10      3       9       3
Vardas24133         Pavarde24133        1       4       8       1       9       10
Vardas24134         Pavarde24134        8       5       10      3       8       8
Vardas24135         Pavarde24135        8       2       1       7       9       1
Vardas24136         Pavarde24136        10      2       3       10      5       1
Vardas24137         Pavarde24137        6       8       7       6       4       1
Vardas24138         Pavarde24138        8       6       10      6       4       9
Vardas24139         Pavarde24139        3       3       1       3       3       1
Vardas24140         Pavarde24140        6       10      2       7       9       8
Vardas24141         Pavarde24141        2       8       4       7       6       7
Vardas24142         Pavarde24142        1       7       10      3       7       2
Vardas24143         Pavarde24143        7       5       2       3       5       6
Vardas24144         Pavarde24144        10      6       4       8       2       5
Vardas24145         Pavarde24145        8       7       10      3       9       10
Vardas24146         Pavarde24146        8       3       9       5       6       1
Vardas24147         Pavarde24147        7       7       6       6       10      5
Vardas24148         Pavarde24148        2       8       4       5       6       1
Vardas24149         Pavarde24149        9       2       10      6       4       10
Vardas24150         Pavarde24150        4       7       1       7       7       1
Vardas24151         Pavarde24151        8       7       7       4       1       8
Vardas24152         Pavarde24152        2       7       8       10      4       3
Vardas24153         Pavarde24153        5       4       6       4       10      9
Vardas24154         Pavarde24154        2       9       1       3       8       10
Vardas24155         Pavarde24155        8       9       9       8       1       4
Vardas24156         Pavarde24156        7       8       3       4       2       3
Vardas24157         Pavarde24157        9       9       5       8       9       7
Vardas24158         Pavarde24158        6       7       2       2       10      7
Vardas24159         Pavarde24159        2       9       4       2       7       5
Vardas24160         Pavarde24160        8       9       9       4       1       8
Vardas24161         Pavarde24161        7       9       6       1       7       1
Vardas24162         Pavarde24162        5       5       3       6       5       1
Vardas24163         Pavarde24163        2       7       4       1       3       9
Vardas24164         Pavarde24164        6       7       5       3       6       9
Vardas24165         Pavarde24165        9       8       4       1       5       4
Vardas24166         Pavarde24166        9       1       1       7       6       3
Vardas24167         Pavarde24167        7       1       2       10      4       5
Vardas24168         Pavarde24168        6       6       1       9       10      10
Vardas24169         Pavarde24169        2       3       2       9       3       10
Vardas24170         Pavarde24170        10      3       4       9       10      2
Vardas24171         Pavarde24171        1       6       8       4       10      9
Vardas24172         Pavarde24172        4       4       3       10      4       5
Vardas24173         Pavarde24173        1       7       7       4       6       6
Vardas24174         Pavarde24174        10      10      10      8       5       3
Vardas24175         Pavarde24175        10      10      1       3       9       4
Vardas24176         Pavarde24176        9       4       6       9       10      4
